brd_label_brand,category_label,dsm_code,product_nature_label,product_code,model_r3,start_at,end_at,life_time,start_year_at
DOMYOS,CLOTHING,X8166776,T-SHIRT,58893,8166776,2012-01-01,2014-10-26,1029,2014
DOMYOS,CLOTHING,X8278143,LONG-SLEEVED T-SHIRT,105552,8278143,2013-07-14,2014-09-21,434,2014
TRIBORD,CLOTHING,306948,SHORTS,306948,8545192,2019-03-10,2021-07-04,847,2021
QUECHUA,CLOTHING,X8284145,JACKET,105331,8284145,2013-10-06,2014-03-02,147,2014
QUECHUA,CLOTHING,12051,FLEECE,106879,8342230,2015-08-02,2016-03-20,231,2016
FOUGANZA,FOOTWEAR,161295,JODHPUR BOOTS,122733,8382816,2017-04-23,2021-01-17,1365,2021
QUECHUA,CLOTHING,151318,T-SHIRT,121012,8493340,2018-02-11,2019-06-23,497,2019
OLAIAN,FOOTWEAR,1657,FLIP-FLOPS,72227,8504408,2017-10-15,2018-11-11,392,2018
DOMYOS,CLOTHING,X8279525,JACKET,103468,8279525,2013-09-01,2015-05-03,609,2015
DOMYOS,CLOTHING,X8217249,CROPPED TROUSERS,103456,8217249,2012-03-18,2012-09-09,175,2012
TRIBORD,CLOTHING,114485,BIKINI TOP,72422,8331345,2015-03-01,2017-06-04,826,2017
QUECHUA,CLOTHING,5518,TROUSERS,100824,8397983,2017-07-23,2021-01-31,1288,2021
TRIBORD,CLOTHING,X8208494,T-SHIRT,101275,8208494,2012-03-11,2015-07-19,1225,2015
QUECHUA,CLOTHING,X8203379,JACKET,100711,8203379,2012-05-20,2015-03-29,1043,2015
TRIBORD,CLOTHING,10254,2 PIECES SWIMSUIT,103683,8300916,2014-03-09,2016-07-24,868,2016
SOLOGNAC,CLOTHING,X8100701,TROUSERS,62578,8100701,2012-01-01,2015-12-13,1442,2015
QUECHUA,CLOTHING,X8205054,SHORTS,100972,8205054,2012-02-19,2013-03-24,399,2013
TRIBORD,CLOTHING,107575,SHORT-SLEEVED POLO SHIRT,109177,8382927,2017-05-07,2019-08-04,819,2019
TRIBORD,CLOTHING,X8203476,SWIMMING COSTUME,67299,8203476,2012-02-19,2013-06-23,490,2013
QUECHUA,CLOTHING,X8241120,SHORTS,103871,8241120,2013-03-31,2014-07-06,462,2014
FOUGANZA,CLOTHING,149232,BREECHES,120201,8501208,2019-08-11,2021-08-29,749,2021
WEDZE,CLOTHING,X8226352,TROUSERS,101616,8226352,2012-10-14,2014-12-21,798,2014
QUECHUA,CLOTHING,4312,BERMUDA SHORTS,103620,8241547,2013-02-10,2015-03-08,756,2015
WEDZE,CLOTHING,10830,JACKET,104161,8315904,2014-09-21,2015-01-18,119,2015
FOUGANZA,CLOTHING,2818,DOWN JACKET,104508,8312481,2014-11-02,2016-11-20,749,2016
WEDZE,CLOTHING,10250,JACKET,107152,8318061,2014-10-12,2015-11-01,385,2015
KALENJI,CLOTHING,1595,BOXER SHORTS,103168,8281918,2013-06-30,2016-06-19,1085,2016
KALENJI,CLOTHING,101140,T-SHIRT,103245,8224165,2012-09-09,2015-07-26,1050,2015
NABAIJI,CLOTHING,3082,BOXER SHORTS,102361,8271468,2013-04-28,2015-09-27,882,2015
ARTENGO,FOOTWEAR,14034,SHOES,89622,8313601,2014-07-06,2016-05-08,672,2016
WEDZE,CLOTHING,112025,SKI SUITS,110016,8339995,2015-10-11,2016-12-11,427,2016
QUECHUA,CLOTHING,5323,JACKET,103703,8241323,2013-02-10,2015-05-10,819,2015
DOMYOS,CLOTHING,13173,JACKET,108552,8341724,2015-09-06,2016-06-05,273,2016
QUECHUA,CLOTHING,4494,BOXER SHORTS,105465,8299760,2014-02-23,2016-01-03,679,2016
DOMYOS,CLOTHING,8598,LEOTARD,106490,8296949,2013-12-29,2016-09-04,980,2016
WEDZE,CLOTHING,10846,TROUSERS,104470,8370534,2016-10-02,2018-01-21,476,2018
ARTENGO,CLOTHING,300246,SOCKS,300246,8395474,2018-05-20,2019-05-19,364,2019
VAN RYSEL,CLOTHING,187911,SHORT-SLEEVE JERSEY,129781,8402884,2018-04-08,2021-11-21,1323,2021
DOMYOS,CLOTHING,X8200505,SWEATSHIRT,101327,8200505,2012-01-29,2012-09-09,224,2012
FOUGANZA,CLOTHING,X8239637,SOCKS,41744,8239637,2013-01-20,2014-08-17,574,2014
TRIBORD,CLOTHING,X8240817,TOP,102995,8240817,2013-03-03,2015-05-24,812,2015
DOMYOS,CLOTHING,181772,TANK,128067,8490198,2018-02-04,2019-11-03,637,2019
DOMYOS,CLOTHING,9702,JACKET,102980,8278237,2013-06-30,2015-03-22,630,2015
QUECHUA,CLOTHING,125685,TROUSERS,113499,8355035,2016-02-14,2017-09-17,581,2017
FOUGANZA,CLOTHING,X8126412,SLEEVELESS JACKET,71950,8126412,2012-01-01,2013-01-13,378,2013
DOMYOS,CLOTHING,X8201113,TROUSERS,59563,8201113,2012-01-22,2013-01-20,364,2013
QUECHUA,CLOTHING,15604,JACKET,106935,8331240,2015-02-22,2021-08-01,2352,2021
SOLOGNAC,CLOTHING,X8156703,SHORT-SLEEVED POLO SHIRT,67320,8156703,2012-03-25,2013-11-03,588,2013
NEWFEEL,FOOTWEAR,15152,SHOES,109646,8289980,2013-11-10,2015-11-29,749,2015
KALENJI,CLOTHING,X8238565,T-SHIRT,100127,8238565,2013-01-13,2014-05-25,497,2014
QUECHUA,CLOTHING,121959,SHORTS,112824,8358549,2016-03-06,2017-08-27,539,2017
DOMYOS,CLOTHING,X8241841,SHORTS,103396,8241841,2013-04-21,2013-09-01,133,2013
FOUGANZA,CLOTHING,X8166684,SHORT-SLEEVED POLO SHIRT,76481,8166684,2012-01-01,2013-04-07,462,2013
NABAIJI,CLOTHING,169276,SWIM TOP,124905,8484169,2018-02-18,2019-06-23,490,2019
DOMYOS,CLOTHING,X8200766,T-SHIRT,68036,8200766,2012-01-08,2013-08-18,588,2013
QUECHUA,CLOTHING,121952,JACKET,112817,8343834,2015-08-23,2018-01-07,868,2018
DOMYOS,CLOTHING,8504,T-SHIRT,106466,8307510,2014-02-02,2014-08-17,196,2014
DOMYOS,CLOTHING,X8279056,BOXER SHORTS,103561,8279056,2013-07-14,2015-01-11,546,2015
TRIBORD,CLOTHING,6147,FLEECE,69277,8282310,2013-08-18,2018-08-19,1827,2018
ARTENGO,CLOTHING,2094,TOP,102725,8298458,2014-02-09,2015-07-05,511,2015
TRIBORD,CLOTHING,107571,SWIMMING TRUNKS,109404,8356266,2016-03-06,2017-07-09,490,2017
QUECHUA,CLOTHING,131325,SOCKS,113777,8374012,2016-10-02,2018-12-30,819,2018
FOUGANZA,CLOTHING,158111,ANORAK,122159,8363205,2016-04-10,2021-01-24,1750,2021
QUECHUA,CLOTHING,12673,JACKET,108386,8370452,2016-08-14,2017-09-03,385,2017
FOUGANZA,CLOTHING,120677,JACKET,112619,8392352,2017-08-27,2019-09-15,749,2019
KALENJI,FOOTWEAR,165543,SHOES,123601,8544319,2018-12-16,2021-05-16,882,2021
DOMYOS,CLOTHING,129766,TROUSERS,106576,8299951,2014-01-19,2015-08-30,588,2015
DOMYOS,CLOTHING,X8201471,LONG-SLEEVED T-SHIRT,101281,8201471,2012-01-22,2013-11-24,672,2013
TRIBORD,CLOTHING,X8242200,SHORTS,66684,8242200,2013-03-17,2014-08-31,532,2014
TRIBORD,CLOTHING,X8356409,SWIMMING TRUNKS,109416,8356409,2016-03-20,2019-06-16,1183,2019
DOMYOS,CLOTHING,8307,TANK,106429,8504567,2018-06-17,2019-09-22,462,2019
QUECHUA,CLOTHING,108267,SHORT-SLEEVED SHIRT,109252,8329524,2015-02-08,2017-06-18,861,2017
TRIBORD,CLOTHING,11271,BIKINI,62496,8356523,2016-04-03,2017-08-20,504,2017
